cl.id_cliente,cl.nombre_cliente,cl.apellido_cliente,cl.fechanac_cliente,cl.dni_cliente,cl.telefono_cliente,cl.correo_cliente,cl.calle_cliente,ct.id_cuenta,ct.iban_cuenta,mv.id_movimiento,mv.tipo_movimiento,mv.cantidad_movimiento,mv.fecha_movimiento
99,Fortunata,Río,2020-10-24,64985600C,814748064,armidasolis@alfaro.es,Calle Zacarías Bernad,322,ES9896940785391136589694,114,Retiro,418,1994-10-18
101,Elena,Jove,2013-08-09,06017171A,621956653,bpeinado@gmail.com,Via Pelayo Sanchez,748,ES1982830400015893011193,541,Ingreso,62,2021-04-07
101,Elena,Jove,2013-08-09,06017171A,621956653,bpeinado@gmail.com,Via Pelayo Sanchez,748,ES1982830400015893011193,810,Retiro,1392,2000-07-04
105,Isidoro,Morales,2002-04-18,02760569V,780318617,dandrade@gmail.com,Glorieta Zacarías Palacio,276,ES9059528838034510930870,478,Retiro,616,2014-09-27
105,Isidoro,Morales,2002-04-18,02760569V,780318617,dandrade@gmail.com,Glorieta Zacarías Palacio,276,ES9059528838034510930870,489,Retiro,181,2004-06-25
105,Isidoro,Morales,2002-04-18,02760569V,780318617,dandrade@gmail.com,Glorieta Zacarías Palacio,276,ES9059528838034510930870,534,Ingreso,299,2017-11-07
105,Isidoro,Morales,2002-04-18,02760569V,780318617,dandrade@gmail.com,Glorieta Zacarías Palacio,276,ES9059528838034510930870,835,Retiro,550,1996-03-18
115,Emilio,Casanova,2022-05-10,29734940B,958598848,vluz@hotmail.com,Alameda de Efraín Alemán,273,ES6853249387919094289708,695,Retiro,2909,1996-11-16
118,Coral,Peláez,2012-09-15,41612833Z,871302764,fmartinez@hotmail.com,Glorieta de Lola Pavón,152,ES6169870943760084354838,44,Retiro,2715,2010-06-03
118,Coral,Peláez,2012-09-15,41612833Z,871302764,fmartinez@hotmail.com,Glorieta de Lola Pavón,152,ES6169870943760084354838,912,Retiro,721,2002-03-29
119,María Manuela,Pellicer,1995-03-14,18019581R,775564013,storrijos@noriega.es,Glorieta de Patricia Gomila,781,ES7126331386243497348729,448,Retiro,547,2021-12-24
120,Aníbal,Palau,2006-09-15,66943123J,610480428,norbertovazquez@gmail.com,Paseo Nereida Abad,132,ES2063992653857763750210,209,Ingreso,771,2005-10-09
120,Aníbal,Palau,2006-09-15,66943123J,610480428,norbertovazquez@gmail.com,Paseo Nereida Abad,132,ES2063992653857763750210,783,Retiro,1639,2008-05-26
123,Paula,Valbuena,1995-03-23,28003341J,821370787,cruz45@parejo.es,Pasadizo Adelardo Leiva,386,ES3064304310398938482527,987,Ingreso,2168,2000-06-27
123,Paula,Valbuena,1995-03-23,28003341J,821370787,cruz45@parejo.es,Pasadizo Adelardo Leiva,386,ES3064304310398938482527,538,Ingreso,282,2012-05-21
123,Paula,Valbuena,1995-03-23,28003341J,821370787,cruz45@parejo.es,Pasadizo Adelardo Leiva,386,ES3064304310398938482527,11,Retiro,2173,2008-02-11
124,Hilda,Dueñas,1999-09-02,71746668P,971267595,tapiamar@rincon-palomino.es,Alameda Isa Velasco,334,ES8531397248033098033770,805,Ingreso,293,2021-10-06
124,Hilda,Dueñas,1999-09-02,71746668P,971267595,tapiamar@rincon-palomino.es,Alameda Isa Velasco,334,ES8531397248033098033770,678,Retiro,610,2010-07-11
